Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
mielleux,RLLC,8,mielleux_FEMALE_C.wav,Audio,Speech,4.5
gariplete,PLS,9,gariplete_MALE_G.wav,Audio,Speech,5.0
hâtif,RSLC,5,hâtif_FEMALE_C.wav,Audio,Speech,6.0
glonable,PLC,8,glonable_FEMALE_C.wav,Audio,Speech,5.0
siège,RSHS,5,siège_MALE_G.wav,Audio,Speech,5.5
persil,RSLS,6,persil_MALE_G.wav,Audio,Speech,5.0
plivie,PSS,6,plivie_MALE_G.wav,Audio,Speech,4.0
matraque,RLLS,8,matraque_FEMALE_C.wav,Audio,Speech,6.0
indien,RSHC,6,indien_MALE_G.wav,Audio,Speech,5.0
culturel,RLHC,8,culturel_MALE_G.wav,Audio,Speech,4.0
résem,PSC,5,résem_FEMALE_C.wav,Audio,Speech,4.5
problème,RLHS,8,problème_FEMALE_C.wav,Audio,Speech,5.5
blasphème,RLLS,9,blasphème_FEMALE_C.wav,Audio,Type,10.0
déplu,RSLC,5,déplu_FEMALE_C.wav,Audio,Type,9.0
effala,PSS,6,effala_MALE_G.wav,Audio,Type,9.5
argent,RSHS,6,argent_FEMALE_C.wav,Audio,Type,10.0
chanteuse,RLHC,9,chanteuse_MALE_G.wav,Audio,Type,9.5
orchestre,RLHS,9,orchestre_MALE_G.wav,Audio,Type,10.0
idéal,RSHC,5,idéal_FEMALE_C.wav,Audio,Type,11.0
décrypter,RLLC,9,décrypter_MALE_G.wav,Audio,Type,11.0
vélolé,PSC,6,vélolé_MALE_G.wav,Audio,Type,9.0
gnome,RSLS,5,gnome_FEMALE_C.wav,Audio,Type,10.5
crémosant,PLC,9,crémosant_FEMALE_C.wav,Audio,Type,10.0
fribuste,PLS,8,fribuste_MALE_G.wav,Audio,Type,10.5
vidéo,RSHS,5,,Visual,Speech,5.5
rachat,RSHC,6,,Visual,Speech,6.0
usité,RSLC,5,,Visual,Speech,5.0
étudiant,RLHC,8,,Visual,Speech,4.0
buide,PSS,5,,Visual,Speech,5.0
dingouron,PLS,9,,Visual,Speech,4.5
confiseur,RLLC,9,,Visual,Speech,5.0
déravé,PSC,6,,Visual,Speech,4.5
nacre,RSLS,5,,Visual,Speech,4.0
commerce,RLHS,8,,Visual,Speech,5.0
langouste,RLLS,9,,Visual,Speech,5.5
bransier,PLC,8,,Visual,Speech,6.0
siècle,RSHS,6,,Visual,Type,9.5
tésin,PSS,6,,Visual,Type,11.0
roupiote,PLS,8,,Visual,Type,9.0
surestimé,RLLC,9,,Visual,Type,10.0
forcément,RLHC,9,,Visual,Type,10.0
rôdeur,RSLC,6,,Visual,Type,9.0
révoutir,PLC,8,,Visual,Type,10.5
confetti,RLLS,8,,Visual,Type,10.0
enjot,PSC,5,,Visual,Type,11.0
nectar,RSLS,6,,Visual,Type,10.0
remise,RSHC,6,,Visual,Type,9.5
étiquette,RLHS,9,,Visual,Type,10.5
