Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
décrypter,RLLC,9,décrypter_MALE_G.wav,Audio,Speech,5.0
vidéo,RSHS,5,vidéo_MALE_G.wav,Audio,Speech,5.0
inapte,RSLC,6,inapte_MALE_G.wav,Audio,Speech,6.0
clide,PSS,5,clide_FEMALE_C.wav,Audio,Speech,6.0
fribuste,PLS,8,fribuste_FEMALE_C.wav,Audio,Speech,5.5
emeraude,RLLS,8,emeraude_FEMALE_C.wav,Audio,Speech,4.0
alincère,PLC,8,alincère_FEMALE_C.wav,Audio,Speech,4.5
nectar,RSLS,6,nectar_MALE_G.wav,Audio,Speech,5.5
génial,RSHC,6,génial_FEMALE_C.wav,Audio,Speech,5.0
noblesse,RLHC,8,noblesse_FEMALE_C.wav,Audio,Speech,5.0
enjot,PSC,5,enjot_FEMALE_C.wav,Audio,Speech,4.5
chocolat,RLHS,8,chocolat_MALE_G.wav,Audio,Speech,4.0
mammouth,RLLS,8,mammouth_MALE_G.wav,Audio,Type,10.0
vithe,PSS,5,vithe_FEMALE_C.wav,Audio,Type,10.5
terasse,RLHS,8,terasse_MALE_G.wav,Audio,Type,11.0
rancolat,PLS,8,rancolat_FEMALE_C.wav,Audio,Type,11.0
prévu,RSHC,5,prévu_FEMALE_C.wav,Audio,Type,9.0
glonable,PLC,8,glonable_MALE_G.wav,Audio,Type,10.5
poursuit,RLHC,8,poursuit_MALE_G.wav,Audio,Type,9.5
duage,PSC,5,duage_MALE_G.wav,Audio,Type,10.0
hâtif,RSLC,5,hâtif_FEMALE_C.wav,Audio,Type,9.5
pulpeuse,RLLC,8,pulpeuse_FEMALE_C.wav,Audio,Type,9.0
propre,RSHS,6,propre_FEMALE_C.wav,Audio,Type,10.0
morse,RSLS,5,morse_MALE_G.wav,Audio,Type,10.0
trude,PSS,5,,Visual,Type,9.5
victoire,RLHS,8,,Visual,Type,11.0
frémoule,PLS,8,,Visual,Type,10.0
girafe,RSLS,6,,Visual,Type,9.0
musclé,RSLC,6,,Visual,Type,10.5
vélolé,PSC,6,,Visual,Type,10.0
rudement,RLLC,8,,Visual,Type,10.0
tombe,RSHS,5,,Visual,Type,10.0
idéal,RSHC,5,,Visual,Type,11.0
lentille,RLLS,8,,Visual,Type,9.0
historien,RLHC,9,,Visual,Type,9.5
carichier,PLC,9,,Visual,Type,10.5
sphinx,RSLS,6,,Visual,Speech,4.0
ancré,RSLC,5,,Visual,Speech,5.5
gariplete,PLS,9,,Visual,Speech,4.5
matraque,RLLS,8,,Visual,Speech,4.5
facile,RSHS,6,,Visual,Speech,5.0
déconnal,PLC,8,,Visual,Speech,5.0
slagé,PSC,5,,Visual,Speech,6.0
amitié,RSHC,6,,Visual,Speech,4.0
peinture,RLHC,8,,Visual,Speech,5.0
luisante,RLLC,8,,Visual,Speech,5.5
effala,PSS,6,,Visual,Speech,6.0
orchestre,RLHS,9,,Visual,Speech,5.0
