Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
hueur,PSC,5,,Visual,Type,10.5
incompoir,PLC,9,,Visual,Type,11.0
pulpeuse,RLLC,8,,Visual,Type,9.0
nacre,RSLS,5,,Visual,Type,10.0
englué,RSLC,6,,Visual,Type,10.0
industrie,RLHS,9,,Visual,Type,9.5
cibourot,PLS,8,,Visual,Type,9.0
tarif,RSHS,5,,Visual,Type,10.0
humanité,RLHC,8,,Visual,Type,9.5
revue,RSHC,5,,Visual,Type,11.0
trude,PSS,5,,Visual,Type,10.0
emeraude,RLLS,8,,Visual,Type,10.5
dénoya,PSC,6,,Visual,Speech,4.5
supplice,RLLS,8,,Visual,Speech,5.0
fleur,RSHS,5,,Visual,Speech,5.5
surestimé,RLLC,9,,Visual,Speech,4.5
téralemet,PLS,9,,Visual,Speech,5.0
ambre,RSLS,5,,Visual,Speech,4.0
berlue,PSS,6,,Visual,Speech,5.0
découvert,RLHC,9,,Visual,Speech,5.5
aérée,RSLC,5,,Visual,Speech,4.0
fierté,RSHC,6,,Visual,Speech,6.0
déforion,PLC,8,,Visual,Speech,6.0
religion,RLHS,8,,Visual,Speech,5.0
viande,RSHS,6,viande_MALE_G.wav,Audio,Speech,4.0
marim,PSS,5,marim_MALE_G.wav,Audio,Speech,5.0
doucement,RLHC,9,doucement_FEMALE_C.wav,Audio,Speech,4.5
glonable,PLC,8,glonable_FEMALE_C.wav,Audio,Speech,5.0
pacheril,PLS,8,pacheril_FEMALE_C.wav,Audio,Speech,4.0
matricule,RLLS,9,matricule_FEMALE_C.wav,Audio,Speech,5.0
unité,RSHC,5,unité_MALE_G.wav,Audio,Speech,5.0
duage,PSC,5,duage_MALE_G.wav,Audio,Speech,4.5
caractère,RLHS,9,caractère_FEMALE_C.wav,Audio,Speech,6.0
décrypter,RLLC,9,décrypter_MALE_G.wav,Audio,Speech,5.5
gnome,RSLS,5,gnome_MALE_G.wav,Audio,Speech,5.5
rôdeur,RSLC,6,rôdeur_MALE_G.wav,Audio,Speech,6.0
sphinx,RSLS,6,sphinx_FEMALE_C.wav,Audio,Type,9.5
margarine,RLLS,9,margarine_MALE_G.wav,Audio,Type,9.0
fermeture,RLHC,9,fermeture_FEMALE_C.wav,Audio,Type,11.0
héricole,PLS,8,héricole_MALE_G.wav,Audio,Type,10.0
argent,RSHS,6,argent_MALE_G.wav,Audio,Type,11.0
brumeuse,RLLC,8,brumeuse_MALE_G.wav,Audio,Type,10.0
érogieuse,PLC,9,érogieuse_MALE_G.wav,Audio,Type,10.5
marathon,RLHS,8,marathon_FEMALE_C.wav,Audio,Type,10.5
remise,RSHC,6,remise_MALE_G.wav,Audio,Type,9.5
ancré,RSLC,5,ancré_FEMALE_C.wav,Audio,Type,10.0
feque,PSS,5,feque_MALE_G.wav,Audio,Type,10.0
déravé,PSC,6,déravé_MALE_G.wav,Audio,Type,9.0
