cond,hasStar,rest,stim
Mu,0,6000,19 08 09 15 12 11 03 14 01 10 18 20 17 13 04 07 16 05 02 06
wordC,0,6000,08 07 13 14 12 16 19 05 04 10 03 20 17 01 11 06 02 18 15 09
emoji,0,6000,08 10 18 09 07 15 04 20 01 06 11 19 16 05 03 13 12 02 14 17
emoji,0,6000,10 12 17 16 11 18 01 08 07 20 19 13 05 14 15 06 03 09 02 04
wordC,0,6000,10 17 06 01 07 15 09 12 08 04 05 13 02 14 11 19 20 16 18 03
face,0,6000,01 11 14 04 19 06 07 16 17 10 05 08 12 09 13 20 18 03 15 02
wordEF,0,6000,10 06 15 13 19 12 01 20 03 11 08 18 02 14 09 07 16 04 17 05
wordEF,1,6000,13 18 16 07 20 14 12 03 00 05 09 15 19 17 10 11 08 06 04 02
face,0,6000,08 17 09 04 12 10 01 13 20 19 18 11 03 16 14 07 06 02 15 05
Mu,1,6000,14 09 16 03 07 08 04 20 02 17 01 00 05 06 12 18 10 15 13 19
face,0,6000,03 09 12 05 01 08 17 10 04 14 02 19 16 07 06 15 18 11 20 13
Mu,0,6000,05 11 16 06 17 10 15 09 08 13 12 18 20 04 01 03 02 14 07 19
wordEF,1,6000,03 13 10 18 08 09 12 14 15 05 06 19 01 17 04 02 20 11 00 16
wordEF,0,6000,20 16 18 05 15 01 13 08 09 03 02 11 06 17 04 07 14 10 19 12
wordC,1,6000,16 05 02 09 01 19 08 12 15 04 03 20 14 13 11 18 06 00 10 07
emoji,0,6000,01 14 12 03 10 18 11 15 04 06 09 17 20 19 02 16 08 13 07 05
wordEF,1,6000,14 18 03 13 12 17 06 04 10 02 19 05 20 16 00 11 01 07 08 15
wordEF,1,6000,12 10 17 07 02 11 16 15 04 18 00 13 20 14 08 05 09 06 03 19
