cond,hasStar,rest,stim
face,0,6000,06 16 13 09 14 02 18 15 10 11 05 03 07 08 12 19 04 20 17 01
face,0,6000,18 02 01 20 19 17 03 10 06 14 12 08 07 09 15 16 11 04 05 13
wordEF,1,6000,17 19 07 15 04 18 05 02 16 14 00 01 08 06 11 20 03 13 09 10
wordEF,1,6000,20 19 12 06 13 00 01 05 14 09 08 07 04 17 16 18 02 10 03 11
Mu,0,6000,05 02 12 20 03 11 10 07 19 06 15 09 08 01 04 18 16 14 17 13
wordEF,0,6000,01 11 13 16 06 07 05 02 17 04 15 08 03 20 09 10 19 18 14 12
wordC,0,6000,10 19 20 16 13 18 02 06 07 09 03 17 05 14 12 08 04 11 15 01
wordC,1,6000,08 16 05 01 15 18 14 09 04 06 07 10 17 13 02 20 19 11 03 00
Mu,0,6000,02 11 18 05 07 13 09 08 20 15 17 10 01 16 06 04 19 12 14 03
Mu,0,6000,01 03 19 05 13 07 17 16 18 04 12 02 20 09 11 15 10 06 08 14
wordC,1,6000,02 16 18 20 01 09 06 13 17 08 19 04 11 15 10 03 07 14 00 12
emoji,0,6000,11 14 10 18 05 08 04 01 15 13 12 16 07 03 02 19 17 06 09 20
wordEF,0,6000,03 08 15 07 16 18 06 13 04 02 19 12 14 09 01 11 20 05 10 17
face,0,6000,03 01 06 14 11 13 19 12 15 02 17 20 05 08 16 18 07 10 04 09
wordEF,0,6000,19 16 14 20 09 15 06 18 05 07 13 10 12 08 03 04 01 17 02 11
emoji,0,6000,10 13 19 17 03 09 12 18 20 07 02 08 06 01 15 16 14 11 04 05
wordEF,1,6000,18 06 15 20 19 14 03 13 17 00 10 16 09 12 05 08 11 02 01 07
emoji,1,6000,04 01 16 05 14 17 18 12 11 20 10 02 13 09 06 08 00 19 07 03
