cond,hasStar,rest,stim
wordC,0,6000,16 03 12 13 14 08 20 05 07 09 18 04 11 19 15 10 02 01 17 06
face,0,6000,14 20 18 08 06 19 02 04 05 12 13 15 11 16 01 07 09 10 17 03
emoji,1,6000,17 07 09 20 11 10 15 08 16 18 01 05 02 00 06 12 19 13 04 14
wordEF,0,6000,20 17 04 16 19 09 07 08 12 14 11 10 03 01 18 06 13 02 15 05
emoji,0,6000,08 01 14 11 03 19 05 04 20 17 07 13 10 12 02 09 15 18 06 16
Mu,0,6000,09 18 12 05 13 11 01 20 08 16 03 15 06 04 02 14 07 17 19 10
Mu,1,6000,14 04 07 03 15 20 05 10 18 00 11 09 13 19 01 02 16 17 06 08
wordEF,1,6000,05 17 10 12 01 13 02 14 06 00 20 15 11 09 07 03 18 19 16 08
wordEF,0,6000,03 14 06 15 05 02 20 19 11 10 01 17 04 09 12 16 07 18 08 13
face,0,6000,16 06 08 01 12 15 05 07 11 20 18 03 19 09 13 17 14 04 02 10
wordEF,0,6000,18 06 07 13 03 14 01 16 12 09 17 10 08 11 05 15 02 04 20 19
Mu,0,6000,05 02 19 09 10 14 12 07 11 17 01 15 13 20 18 04 08 06 16 03
wordC,1,6000,16 10 14 03 13 19 08 04 06 20 02 11 05 12 09 15 00 17 01 07
face,0,6000,04 17 15 11 18 20 13 07 06 08 03 01 16 05 02 14 09 10 12 19
emoji,0,6000,04 19 11 07 12 09 02 03 15 06 20 13 14 01 17 16 08 10 05 18
wordEF,1,6000,07 03 02 15 13 05 12 09 06 16 08 20 01 14 11 00 19 17 04 18
wordEF,1,6000,13 05 10 06 03 07 08 00 20 11 02 15 12 19 18 14 09 01 16 17
wordC,0,6000,09 01 10 19 17 13 08 02 18 03 06 15 04 14 16 11 12 20 07 05
