Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
moulin,RSHS,6,moulin_MALE_G.wav,Audio,Speech,5.5
prévu,RSHC,5,prévu_FEMALE_C.wav,Audio,Speech,5.0
genièvre,RLLS,8,genièvre_FEMALE_C.wav,Audio,Speech,4.0
désac,PSC,5,désac_FEMALE_C.wav,Audio,Speech,6.0
tsariste,RLLC,8,tsariste_MALE_G.wav,Audio,Speech,5.5
invisible,RLHC,9,invisible_FEMALE_C.wav,Audio,Speech,4.5
religion,RLHS,8,religion_MALE_G.wav,Audio,Speech,5.0
cireux,RSLC,6,cireux_MALE_G.wav,Audio,Speech,4.5
morse,RSLS,5,morse_MALE_G.wav,Audio,Speech,4.0
érogieuse,PLC,9,érogieuse_FEMALE_C.wav,Audio,Speech,5.0
dingouron,PLS,9,dingouron_MALE_G.wav,Audio,Speech,6.0
jaren,PSS,5,jaren_MALE_G.wav,Audio,Speech,5.0
dénoya,PSC,6,,Visual,Speech,4.0
grillagée,RLLC,9,,Visual,Speech,5.5
hâtif,RSLC,5,,Visual,Speech,6.0
idéal,RSHC,5,,Visual,Speech,5.0
victoire,RLHS,8,,Visual,Speech,5.5
lentille,RLLS,8,,Visual,Speech,4.5
chalgame,PLS,8,,Visual,Speech,4.5
peinture,RLHC,8,,Visual,Speech,5.0
nuage,RSHS,5,,Visual,Speech,4.0
ambre,RSLS,5,,Visual,Speech,5.0
arcove,PSS,6,,Visual,Speech,5.0
rentonice,PLC,9,,Visual,Speech,6.0
rudement,RLLC,8,rudement_MALE_G.wav,Audio,Write,10.0
propre,RSHS,6,propre_FEMALE_C.wav,Audio,Write,10.5
mobilité,RLHC,8,mobilité_FEMALE_C.wav,Audio,Write,9.5
remet,RSHC,5,remet_FEMALE_C.wav,Audio,Write,11.0
duage,PSC,5,duage_MALE_G.wav,Audio,Write,10.5
eczéma,RSLS,6,eczéma_FEMALE_C.wav,Audio,Write,9.5
inapte,RSLC,6,inapte_FEMALE_C.wav,Audio,Write,10.0
évandesin,PLS,9,évandesin_MALE_G.wav,Audio,Write,11.0
seringue,RLLS,8,seringue_FEMALE_C.wav,Audio,Write,10.0
complexe,RLHS,8,complexe_FEMALE_C.wav,Audio,Write,10.0
plivie,PSS,6,plivie_MALE_G.wav,Audio,Write,9.0
incompoir,PLC,9,incompoir_MALE_G.wav,Audio,Write,9.0
nageur,RSLC,6,,Visual,Write,9.0
détraqué,RLLC,8,,Visual,Write,9.0
alincère,PLC,8,,Visual,Write,10.0
facile,RSHS,6,,Visual,Write,11.0
tueur,RSHC,5,,Visual,Write,10.5
rancolat,PLS,8,,Visual,Write,10.5
berlue,PSS,6,,Visual,Write,10.0
problème,RLHS,8,,Visual,Write,9.5
bulbe,RSLS,5,,Visual,Write,10.0
samouraï,RLLS,8,,Visual,Write,9.5
détria,PSC,6,,Visual,Write,11.0
remporté,RLHC,8,,Visual,Write,10.0
