Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
besogneux,RLLC,9,,Visual,Type,10.5
découvert,RLHC,9,,Visual,Type,10.0
clueur,PSC,6,,Visual,Type,9.0
jambe,RSHS,5,,Visual,Type,9.5
beauté,RSHC,6,,Visual,Type,9.0
révoutir,PLC,8,,Visual,Type,11.0
nacule,PSS,6,,Visual,Type,11.0
frime,RSLS,5,,Visual,Type,10.5
dingouron,PLS,9,,Visual,Type,10.0
ancré,RSLC,5,,Visual,Type,10.0
orchestre,RLHS,9,,Visual,Type,9.5
salpêtre,RLLS,8,,Visual,Type,10.0
résem,PSC,5,résem_FEMALE_C.wav,Audio,Speech,4.5
crème,RSHS,5,crème_MALE_G.wav,Audio,Speech,4.0
roduillon,PLS,9,roduillon_FEMALE_C.wav,Audio,Speech,5.0
industrie,RLHS,9,industrie_FEMALE_C.wav,Audio,Speech,4.5
actif,RSHC,5,actif_FEMALE_C.wav,Audio,Speech,4.0
légume,RSLS,6,légume_MALE_G.wav,Audio,Speech,6.0
mobilité,RLHC,8,mobilité_MALE_G.wav,Audio,Speech,5.0
esclandre,RLLS,9,esclandre_MALE_G.wav,Audio,Speech,5.5
crémosant,PLC,9,crémosant_FEMALE_C.wav,Audio,Speech,5.0
hargneuse,RLLC,9,hargneuse_MALE_G.wav,Audio,Speech,5.5
effala,PSS,6,effala_MALE_G.wav,Audio,Speech,6.0
gluant,RSLC,6,gluant_FEMALE_C.wav,Audio,Speech,5.0
terasse,RLHS,8,terasse_FEMALE_C.wav,Audio,Type,10.0
feque,PSS,5,feque_MALE_G.wav,Audio,Type,10.0
unité,RSHC,5,unité_MALE_G.wav,Audio,Type,10.0
englué,RSLC,6,englué_MALE_G.wav,Audio,Type,9.5
surgalir,PLC,8,surgalir_FEMALE_C.wav,Audio,Type,9.0
moulin,RSHS,6,moulin_FEMALE_C.wav,Audio,Type,9.0
écrevisse,RLLS,9,écrevisse_FEMALE_C.wav,Audio,Type,11.0
morse,RSLS,5,morse_FEMALE_C.wav,Audio,Type,10.5
cliard,PSC,6,cliard_FEMALE_C.wav,Audio,Type,10.5
remporté,RLHC,8,remporté_MALE_G.wav,Audio,Type,10.0
héricole,PLS,8,héricole_FEMALE_C.wav,Audio,Type,11.0
salivant,RLLC,8,salivant_FEMALE_C.wav,Audio,Type,9.5
vithe,PSS,5,,Visual,Speech,4.5
corset,RSLS,6,,Visual,Speech,6.0
aubedulle,PLS,9,,Visual,Speech,5.0
gingembre,RLLS,9,,Visual,Speech,5.0
surpu,PSC,5,,Visual,Speech,5.5
forcément,RLHC,9,,Visual,Speech,4.0
facile,RSHS,6,,Visual,Speech,5.0
séquence,RLHS,8,,Visual,Speech,5.0
réuni,RSHC,5,,Visual,Speech,5.5
rentonice,PLC,9,,Visual,Speech,6.0
déplu,RSLC,5,,Visual,Speech,4.0
grillagée,RLLC,9,,Visual,Speech,4.5
