Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
détraqué,RLLC,8,,Visual,Speech,5.0
séquence,RLHS,8,,Visual,Speech,6.0
fleur,RSHS,5,,Visual,Speech,5.0
lentille,RLLS,8,,Visual,Speech,4.5
récumi,PSC,6,,Visual,Speech,4.0
noblesse,RLHC,8,,Visual,Speech,6.0
crémosant,PLC,9,,Visual,Speech,5.5
fuselé,RSLC,6,,Visual,Speech,4.5
final,RSHC,5,,Visual,Speech,5.0
carpe,RSLS,5,,Visual,Speech,5.5
sapis,PSS,5,,Visual,Speech,4.0
téralemet,PLS,9,,Visual,Speech,5.0
girafe,RSLS,6,girafe_FEMALE_C.wav,Audio,Speech,5.0
mobilité,RLHC,8,mobilité_MALE_G.wav,Audio,Speech,5.0
cireux,RSLC,6,cireux_FEMALE_C.wav,Audio,Speech,5.0
carichier,PLC,9,carichier_MALE_G.wav,Audio,Speech,5.5
apleté,PSC,6,apleté_MALE_G.wav,Audio,Speech,4.5
inhabité,RLLC,8,inhabité_MALE_G.wav,Audio,Speech,4.0
siècle,RSHS,6,siècle_MALE_G.wav,Audio,Speech,4.5
héricole,PLS,8,héricole_MALE_G.wav,Audio,Speech,5.5
réuni,RSHC,5,réuni_MALE_G.wav,Audio,Speech,4.0
clide,PSS,5,clide_MALE_G.wav,Audio,Speech,6.0
marathon,RLHS,8,marathon_MALE_G.wav,Audio,Speech,6.0
matricule,RLLS,9,matricule_MALE_G.wav,Audio,Speech,5.0
champagne,RLHS,9,champagne_FEMALE_C.wav,Audio,Type,10.0
instagne,PLC,8,instagne_MALE_G.wav,Audio,Type,10.0
écrevisse,RLLS,9,écrevisse_MALE_G.wav,Audio,Type,11.0
invisible,RLHC,9,invisible_FEMALE_C.wav,Audio,Type,11.0
blité,PSC,5,blité_MALE_G.wav,Audio,Type,9.5
soleil,RSHS,6,soleil_FEMALE_C.wav,Audio,Type,10.5
fribuste,PLS,8,fribuste_FEMALE_C.wav,Audio,Type,10.0
remise,RSHC,6,remise_FEMALE_C.wav,Audio,Type,10.0
cèdre,RSLS,5,cèdre_MALE_G.wav,Audio,Type,10.5
confiseur,RLLC,9,confiseur_FEMALE_C.wav,Audio,Type,9.5
aérée,RSLC,5,aérée_FEMALE_C.wav,Audio,Type,9.0
berlue,PSS,6,berlue_FEMALE_C.wav,Audio,Type,9.0
crème,RSHS,5,,Visual,Type,10.0
résem,PSC,5,,Visual,Type,9.5
prune,RSLS,5,,Visual,Type,10.0
revue,RSHC,5,,Visual,Type,10.5
brambouse,PLS,9,,Visual,Type,10.5
industrie,RLHS,9,,Visual,Type,10.0
incompoir,PLC,9,,Visual,Type,9.0
jaren,PSS,5,,Visual,Type,11.0
genièvre,RLLS,8,,Visual,Type,11.0
gluant,RSLC,6,,Visual,Type,9.5
crapuleux,RLLC,9,,Visual,Type,10.0
poursuit,RLHC,8,,Visual,Type,9.0
