onset,type,stim
2000,sound,tapoter_du_doigt_MALE_G.wav
13000,sound,stop.wav
19000,sound,budget_FEMALE_C.wav
25000,sound,signal_MALE_G.wav
31000,sound,stop.wav
37000,sound,tapoter_du_doigt_MALE_G.wav
48000,sound,stop.wav
54000,sound,nation_MALE_G.wav
60000,sound,phrase_FEMALE_C.wav
66000,sound,stop.wav
72000,sound,tapoter_du_doigt_FEMALE_C.wav
83000,sound,stop.wav
89000,sound,effort_FEMALE_C.wav
95000,sound,tennis_MALE_G.wav
101000,sound,stop.wav
107000,sound,tapoter_du_doigt_FEMALE_C.wav
118000,sound,stop.wav
124000,sound,blonde_FEMALE_C.wav
130000,sound,client_FEMALE_C.wav
136000,sound,stop.wav
142000,sound,tapoter_du_doigt_MALE_G.wav
153000,sound,stop.wav
159000,sound,vision_FEMALE_C.wav
165000,sound,tunnel_MALE_G.wav
171000,sound,stop.wav
177000,sound,tapoter_du_doigt_FEMALE_C.wav
188000,sound,stop.wav
194000,sound,profit_MALE_G.wav
200000,sound,temple_MALE_G.wav
206000,sound,stop.wav
